2024-11-14 10:27:10 INFO SC001 (TO: TO_CO_TFTU000018, CO: CO_TFTU000018, PICK) driving to QC003; 31 s; 172693 mm
2024-11-14 10:30:58 INFO SC020 (TO: TO_CO_TFTU000034, CO: CO_TFTU000034, PICK) driving to QC003; 13 s; 72693 mm
2024-11-14 10:30:59 INFO SC012 (TO: TO_CO_TFTU000024, CO: CO_TFTU000024, PICK) working at QC005; 61 s
2024-11-14 10:31:05 INFO SC017 (TO: TO_CO_TFTU000016, CO: CO_TFTU000016, DROP) finished at WS010.01
2024-11-14 10:31:05 INFO SC017 (TO: TO_CO_TFTU000029, CO: CO_TFTU000029, PICK) driving to RAIL001.76; 92 s; 511833 mm
2024-11-14 10:31:07 INFO SC002 (TO: TO_CO_TFTU000023, CO: CO_TFTU000023, PICK) finished at QC003
2024-11-14 10:31:07 INFO SC002 (TO: TO_CO_TFTU000023, CO: CO_TFTU000023, DROP) driving to WS015.01; 146 s; 810685 mm
2024-11-14 10:31:09 INFO SC001 (TO: TO_CO_TFTU000018, CO: CO_TFTU000018, PICK) finished at QC003
2024-11-14 10:31:09 INFO SC001 (TO: TO_CO_TFTU000018, CO: CO_TFTU000018, DROP) driving to WS012.01; 119 s; 660685 mm
2024-11-14 10:31:11 INFO SC020 (TO: TO_CO_TFTU000034, CO: CO_TFTU000034, PICK) working at QC003; 60 s
2024-11-14 10:31:14 INFO SC005 (TO: TO_CO_TFTU000019, CO: CO_TFTU000019, DROP) working at YARD001.55; 60 s
2024-11-14 10:31:20 INFO SC019 (TO: TO_CO_TFTU000002, CO: CO_TFTU000002, DROP) finished at WS012.01
2024-11-14 10:31:20 INFO SC019 (TO: TO_CO_TFTU000056, CO: CO_TFTU000056, PICK) driving to QC004; 101 s; 561202 mm
2024-11-14 10:31:23 INFO SC010 (TO: TO_CO_TFTU000008, CO: CO_TFTU000008, DROP) finished at WS007.01
2024-11-14 10:31:23 INFO SC010 (TO: TO_CO_TFTU000026, CO: CO_TFTU000026, PICK) driving to QC006; 79 s; 436787 mm
2024-11-14 10:31:28 INFO SC016 (TO: TO_CO_TFTU000003, CO: CO_TFTU000003, DROP) working at WS015.01; 60 s
2024-11-14 10:31:32 INFO SC008 (TO: TO_CO_TFTU000011, CO: CO_TFTU000011, DROP) working at WS013.01; 60 s
2024-11-14 10:31:35 INFO SC014 (TO: TO_CO_TFTU000038, CO: CO_TFTU000038, PICK) finished at QC007
2024-11-14 10:31:35 INFO SC014 (TO: TO_CO_TFTU000038, CO: CO_TFTU000038, DROP) driving to WS004.01; 88 s; 486377 mm
2024-11-14 10:31:37 INFO SC013 (TO: TO_CO_TFTU000046, CO: CO_TFTU000046, PICK) working at QC003; 60 s
2024-11-14 10:31:40 INFO SC011 (TO: TO_CO_TFTU000017, CO: CO_TFTU000017, DROP) finished at WS007.01
2024-11-14 10:31:40 INFO SC011 (TO: TO_CO_TFTU000052, CO: CO_TFTU000052, PICK) driving to QC005; 61 s; 336343 mm
2024-11-14 10:31:40 INFO SC004 (TO: TO_CO_TFTU000047, CO: CO_TFTU000047, PICK) working at QC005; 60 s
2024-11-14 10:31:42 INFO SC003 (TO: TO_CO_TFTU000020, CO: CO_TFTU000020, DROP) finished at YARD001.36
2024-11-14 10:31:42 INFO SC003 (TO: TO_CO_TFTU000032, CO: CO_TFTU000032, PICK) driving to QC005; 18 s; 102193 mm
2024-11-14 10:31:42 INFO SC015 (TO: TO_CO_TFTU000012, CO: CO_TFTU000012, DROP) finished at WS002.01
2024-11-14 10:31:42 INFO SC015 (TO: TO_CO_TFTU000051, CO: CO_TFTU000051, PICK) driving to QC005; 34 s; 186343 mm
2024-11-14 10:31:59 INFO SC012 (TO: TO_CO_TFTU000024, CO: CO_TFTU000024, PICK) finished at QC005
2024-11-14 10:31:59 INFO SC012 (TO: TO_CO_TFTU000024, CO: CO_TFTU000024, DROP) driving to WS007.01; 61 s; 336343 mm
2024-11-14 10:32:01 INFO SC003 (TO: TO_CO_TFTU000032, CO: CO_TFTU000032, PICK) working at QC005; 61 s
2024-11-14 10:32:01 INFO SC007 (TO: TO_CO_TFTU000013, CO: CO_TFTU000013, DROP) working at WS012.01; 60 s
2024-11-14 10:32:10 INFO SC018 (TO: TO_CO_TFTU000009, CO: CO_TFTU000009, DROP) working at WS016.01; 60 s
2024-11-14 10:32:11 INFO SC020 (TO: TO_CO_TFTU000034, CO: CO_TFTU000034, PICK) finished at QC003
2024-11-14 10:32:11 INFO SC020 (TO: TO_CO_TFTU000034, CO: CO_TFTU000034, DROP) driving to WS002.01; 47 s; 260685 mm
2024-11-14 10:32:14 INFO SC005 (TO: TO_CO_TFTU000019, CO: CO_TFTU000019, DROP) finished at YARD001.55
2024-11-14 10:32:14 INFO SC005 (TO: TO_CO_TFTU000027, CO: CO_TFTU000027, PICK) driving to QC006; 13 s; 72713 mm
2024-11-14 10:32:17 INFO SC009 (TO: TO_CO_TFTU000014, CO: CO_TFTU000014, DROP) working at WS015.01; 60 s
2024-11-14 10:32:28 INFO SC005 (TO: TO_CO_TFTU000027, CO: CO_TFTU000027, PICK) working at QC006; 61 s
2024-11-14 10:32:28 INFO SC016 (TO: TO_CO_TFTU000003, CO: CO_TFTU000003, DROP) finished at WS015.01
2024-11-14 10:32:28 INFO SC016 (TO: TO_CO_TFTU000033, CO: CO_TFTU000033, PICK) driving to RAIL001.81; 134 s; 746833 mm
2024-11-14 10:32:32 INFO SC008 (TO: TO_CO_TFTU000011, CO: CO_TFTU000011, DROP) finished at WS013.01
2024-11-14 10:32:32 INFO SC008 (TO: TO_CO_TFTU000063, CO: CO_TFTU000063, PICK) driving to QC003; 128 s; 710685 mm
2024-11-14 10:32:37 INFO SC013 (TO: TO_CO_TFTU000046, CO: CO_TFTU000046, PICK) finished at QC003
2024-11-14 10:32:37 INFO SC013 (TO: TO_CO_TFTU000046, CO: CO_TFTU000046, DROP) driving to YARD001.36; 33 s; 182657 mm
2024-11-14 10:32:38 INFO SC017 (TO: TO_CO_TFTU000029, CO: CO_TFTU000029, PICK) working at RAIL001.76; 61 s
2024-11-14 10:32:40 INFO SC004 (TO: TO_CO_TFTU000047, CO: CO_TFTU000047, PICK) finished at QC005
2024-11-14 10:32:40 INFO SC004 (TO: TO_CO_TFTU000047, CO: CO_TFTU000047, DROP) driving to WS003.01; 43 s; 236343 mm
2024-11-14 10:32:40 INFO SC015 (TO: TO_CO_TFTU000051, CO: CO_TFTU000051, PICK) waited at QC005; 24 s
2024-11-14 10:32:40 INFO SC015 (TO: TO_CO_TFTU000051, CO: CO_TFTU000051, PICK) working at QC005; 60 s
2024-11-14 10:32:42 INFO SC010 (TO: TO_CO_TFTU000026, CO: CO_TFTU000026, PICK) working at QC006; 60 s
2024-11-14 10:32:47 INFO SC006 (TO: TO_CO_TFTU000010, CO: CO_TFTU000010, DROP) working at WS015.01; 60 s
2024-11-14 10:32:58 INFO SC020 (TO: TO_CO_TFTU000034, CO: CO_TFTU000034, DROP) working at WS002.01; 60 s
2024-11-14 10:33:00 INFO SC012 (TO: TO_CO_TFTU000024, CO: CO_TFTU000024, DROP) working at WS007.01; 60 s
2024-11-14 10:33:01 INFO SC003 (TO: TO_CO_TFTU000032, CO: CO_TFTU000032, PICK) finished at QC005
2024-11-14 10:33:01 INFO SC003 (TO: TO_CO_TFTU000032, CO: CO_TFTU000032, DROP) driving to YARD001.25; 38 s; 212193 mm
2024-11-14 10:33:01 INFO SC011 (TO: TO_CO_TFTU000052, CO: CO_TFTU000052, PICK) waited at QC005; 21 s
2024-11-14 10:33:01 INFO SC011 (TO: TO_CO_TFTU000052, CO: CO_TFTU000052, PICK) working at QC005; 60 s
2024-11-14 10:33:01 INFO SC019 (TO: TO_CO_TFTU000056, CO: CO_TFTU000056, PICK) working at QC004; 60 s
2024-11-14 10:33:01 INFO SC007 (TO: TO_CO_TFTU000013, CO: CO_TFTU000013, DROP) finished at WS012.01
2024-11-14 10:33:01 INFO SC007 (TO: TO_CO_TFTU000071, CO: CO_TFTU000071, PICK) driving to QC005; 106 s; 586343 mm
2024-11-14 10:33:03 INFO SC014 (TO: TO_CO_TFTU000038, CO: CO_TFTU000038, DROP) working at WS004.01; 60 s
2024-11-14 10:33:08 INFO SC001 (TO: TO_CO_TFTU000018, CO: CO_TFTU000018, DROP) working at WS012.01; 60 s
2024-11-14 10:33:10 INFO SC013 (TO: TO_CO_TFTU000046, CO: CO_TFTU000046, DROP) working at YARD001.36; 60 s
2024-11-14 10:33:10 INFO SC018 (TO: TO_CO_TFTU000009, CO: CO_TFTU000009, DROP) finished at WS016.01
2024-11-14 10:33:10 INFO SC018 (TO: TO_CO_TFTU000090, CO: CO_TFTU000090, PICK) driving to QC006; 160 s; 886787 mm
2024-11-14 10:33:17 INFO SC009 (TO: TO_CO_TFTU000014, CO: CO_TFTU000014, DROP) finished at WS015.01
2024-11-14 10:33:17 INFO SC009 (TO: TO_CO_TFTU000036, CO: CO_TFTU000036, PICK) driving to QC005; 133 s; 736343 mm
2024-11-14 10:33:23 INFO SC004 (TO: TO_CO_TFTU000047, CO: CO_TFTU000047, DROP) working at WS003.01; 60 s
2024-11-14 10:33:28 INFO SC005 (TO: TO_CO_TFTU000027, CO: CO_TFTU000027, PICK) finished at QC006
2024-11-14 10:33:28 INFO SC005 (TO: TO_CO_TFTU000027, CO: CO_TFTU000027, DROP) driving to WS007.01; 79 s; 436787 mm
2024-11-14 10:33:33 INFO SC002 (TO: TO_CO_TFTU000023, CO: CO_TFTU000023, DROP) working at WS015.01; 60 s
2024-11-14 10:33:38 INFO SC017 (TO: TO_CO_TFTU000029, CO: CO_TFTU000029, PICK) finished at RAIL001.76
2024-11-14 10:33:38 INFO SC017 (TO: TO_CO_TFTU000029, CO: CO_TFTU000029, DROP) driving to WS007.01; 79 s; 438167 mm
2024-11-14 10:33:39 INFO SC003 (TO: TO_CO_TFTU000032, CO: CO_TFTU000032, DROP) working at YARD001.25; 60 s
2024-11-14 10:33:41 INFO SC015 (TO: TO_CO_TFTU000051, CO: CO_TFTU000051, PICK) finished at QC005
2024-11-14 10:33:41 INFO SC015 (TO: TO_CO_TFTU000051, CO: CO_TFTU000051, DROP) driving to WS003.01; 43 s; 236343 mm
2024-11-14 10:33:42 INFO SC010 (TO: TO_CO_TFTU000026, CO: CO_TFTU000026, PICK) finished at QC006
2024-11-14 10:33:42 INFO SC010 (TO: TO_CO_TFTU000026, CO: CO_TFTU000026, DROP) driving to YARD001.54; 11 s; 62713 mm
2024-11-14 10:33:47 INFO SC006 (TO: TO_CO_TFTU000010, CO: CO_TFTU000010, DROP) finished at WS015.01
2024-11-14 10:33:47 INFO SC006 (TO: TO_CO_TFTU000082, CO: CO_TFTU000082, PICK) driving to QC005; 133 s; 736343 mm
2024-11-14 10:33:54 INFO SC010 (TO: TO_CO_TFTU000026, CO: CO_TFTU000026, DROP) working at YARD001.54; 61 s
2024-11-14 10:33:58 INFO SC020 (TO: TO_CO_TFTU000034, CO: CO_TFTU000034, DROP) finished at WS002.01
2024-11-14 10:33:58 INFO SC020 (TO: TO_CO_TFTU000066, CO: CO_TFTU000066, PICK) driving to QC004; 29 s; 161202 mm
2024-11-14 10:34:00 INFO SC012 (TO: TO_CO_TFTU000024, CO: CO_TFTU000024, DROP) finished at WS007.01
2024-11-14 10:34:00 INFO SC012 (TO: TO_CO_TFTU000074, CO: CO_TFTU000074, PICK) driving to QC005; 61 s; 336343 mm
2024-11-14 10:34:01 INFO SC011 (TO: TO_CO_TFTU000052, CO: CO_TFTU000052, PICK) finished at QC005
2024-11-14 10:34:01 INFO SC011 (TO: TO_CO_TFTU000052, CO: CO_TFTU000052, DROP) driving to YARD001.46; 15 s; 83157 mm
2024-11-14 10:34:01 INFO SC019 (TO: TO_CO_TFTU000056, CO: CO_TFTU000056, PICK) finished at QC004
2024-11-14 10:34:01 INFO SC019 (TO: TO_CO_TFTU000056, CO: CO_TFTU000056, DROP) driving to WS003.01; 38 s; 211202 mm
2024-11-14 10:34:03 INFO SC014 (TO: TO_CO_TFTU000038, CO: CO_TFTU000038, DROP) finished at WS004.01
2024-11-14 10:34:03 INFO SC014 (TO: TO_CO_TFTU000053, CO: CO_TFTU000053, PICK) driving to QC006; 70 s; 386787 mm
2024-11-14 10:34:08 INFO SC001 (TO: TO_CO_TFTU000018, CO: CO_TFTU000018, DROP) finished at WS012.01
2024-11-14 10:34:08 INFO SC001 (TO: TO_CO_TFTU000068, CO: CO_TFTU000068, PICK) driving to QC005; 106 s; 586343 mm
2024-11-14 10:34:10 INFO SC013 (TO: TO_CO_TFTU000046, CO: CO_TFTU000046, DROP) finished at YARD001.36
2024-11-14 10:34:10 INFO SC013 (TO: TO_CO_TFTU000059, CO: CO_TFTU000059, PICK) driving to QC006; 36 s; 202637 mm
2024-11-14 10:34:16 INFO SC011 (TO: TO_CO_TFTU000052, CO: CO_TFTU000052, DROP) working at YARD001.46; 60 s
2024-11-14 10:34:23 INFO SC004 (TO: TO_CO_TFTU000047, CO: CO_TFTU000047, DROP) finished at WS003.01
